transaction_id,customer_id,date,service_name,amount,estimated_margin_pct,quantity
TXN-00001,CUST-0175,2025-11-05,Patient Consultation,486.28,30.0,2
TXN-00002,CUST-0055,2025-10-24,Website Development,36028.17,25.0,1
TXN-00003,CUST-0132,2025-07-13,PPC Campaign,19648.22,18.0,1
TXN-00004,CUST-0037,2024-04-03,Corporate Training,9488.14,22.0,1
TXN-00005,CUST-0089,2025-12-22,Process Optimization,24845.06,22.0,1
TXN-00006,CUST-0163,2024-11-01,Executive Coaching,5379.78,35.0,1
TXN-00007,CUST-0059,2025-06-15,Patient Consultation,352.47,30.0,1
TXN-00008,CUST-0016,2024-05-10,Retainer,13158.39,28.0,1
TXN-00009,CUST-0139,2025-11-26,Workshop Ticket,657.41,25.0,2
TXN-00010,CUST-0038,2025-01-01,Enterprise License,29551.46,35.0,1
TXN-00011,CUST-0135,2025-05-06,Product Sale,428.53,15.0,1
TXN-00012,CUST-0143,2024-08-01,Consultation Fee,1699.36,32.0,1
TXN-00013,CUST-0141,2025-10-27,Strategy Session,6383.22,30.0,1
TXN-00014,CUST-0154,2025-12-20,SEO Package,6066.61,20.0,1
TXN-00015,CUST-0076,2025-12-14,Enterprise License,47653.32,35.0,2
TXN-00016,CUST-0193,2025-01-07,Executive Coaching,3137.13,35.0,1
TXN-00017,CUST-0124,2024-05-18,Property Listing,4014.51,30.0,2
TXN-00018,CUST-0029,2025-05-18,Telemedicine Plan,977.5,28.0,1
TXN-00019,CUST-0155,2025-11-04,Corporate Training,11983.47,22.0,1
TXN-00020,CUST-0165,2025-11-19,Website Development,28176.27,25.0,1
TXN-00021,CUST-0140,2025-07-07,Valuation Report,2673.97,35.0,1
TXN-00022,CUST-0074,2025-12-29,Litigation Support,67166.5,25.0,1
TXN-00023,CUST-0076,2024-12-24,Implementation Fee,8105.53,20.0,1
TXN-00024,CUST-0008,2025-01-12,Social Media Mgmt,9138.3,22.0,1
TXN-00025,CUST-0035,2025-12-14,Annual Subscription,2885.87,28.0,1
TXN-00026,CUST-0047,2024-09-23,Premium Membership,513.09,18.0,1
TXN-00027,CUST-0131,2024-05-12,Annual Subscription,2348.74,45.0,1
TXN-00028,CUST-0084,2025-09-14,Subscription Box,125.53,20.0,1
TXN-00029,CUST-0094,2025-11-09,Implementation Fee,8539.4,20.0,1
TXN-00030,CUST-0063,2025-02-02,PPC Campaign,4392.48,18.0,1
TXN-00031,CUST-0094,2025-05-09,Annual Subscription,3104.78,45.0,1
TXN-00032,CUST-0101,2024-12-13,Valuation Report,5041.84,35.0,1
TXN-00033,CUST-0094,2024-11-27,Implementation Fee,11571.68,20.0,1
TXN-00034,CUST-0064,2025-11-25,Patient Consultation,216.56,30.0,1
TXN-00035,CUST-0001,2025-02-14,Premium Membership,910.97,18.0,1
TXN-00036,CUST-0032,2024-12-22,Social Media Mgmt,5234.95,22.0,1
TXN-00037,CUST-0168,2025-03-12,SEO Package,3382.34,20.0,1
TXN-00038,CUST-0117,2025-11-13,Implementation Fee,10835.72,20.0,3
TXN-00039,CUST-0007,2024-06-08,Social Media Mgmt,12803.11,22.0,2
TXN-00040,CUST-0066,2024-12-30,Implementation Fee,11545.16,20.0,1
TXN-00041,CUST-0035,2025-01-03,Annual Subscription,2834.97,28.0,2
TXN-00042,CUST-0027,2025-09-19,Executive Coaching,12837.08,35.0,1
TXN-00043,CUST-0035,2024-04-06,Workshop Ticket,584.76,25.0,1
TXN-00044,CUST-0063,2024-01-25,PPC Campaign,17990.27,18.0,2
TXN-00045,CUST-0005,2024-07-08,SEO Package,2310.44,20.0,1
TXN-00046,CUST-0042,2025-06-10,Property Listing,2789.86,30.0,1
TXN-00047,CUST-0045,2024-08-04,Valuation Report,1414.32,35.0,1
TXN-00048,CUST-0110,2025-11-04,Social Media Mgmt,4563.85,22.0,3
TXN-00049,CUST-0162,2025-07-08,Course Enrollment,1321.72,20.0,1
TXN-00050,CUST-0136,2025-08-10,Property Management,1015.48,25.0,1
TXN-00051,CUST-0018,2025-01-14,Valuation Report,3759.94,35.0,1
TXN-00052,CUST-0192,2025-09-06,Annual Subscription,3615.15,45.0,1
TXN-00053,CUST-0130,2025-03-01,Market Analysis,19999.57,28.0,1
TXN-00054,CUST-0045,2024-07-24,Property Management,4752.25,25.0,1
TXN-00055,CUST-0074,2025-09-30,Hourly Consultation,285.04,35.0,1
TXN-00056,CUST-0070,2025-11-09,Monthly Subscription,106.04,40.0,1
TXN-00057,CUST-0148,2024-12-05,Subscription Box,64.11,20.0,1
TXN-00058,CUST-0077,2025-12-12,Corporate Health,31646.99,22.0,1
TXN-00059,CUST-0178,2024-09-06,Website Development,39398.02,25.0,1
TXN-00060,CUST-0010,2024-11-27,Implementation Fee,15148.55,20.0,1
TXN-00061,CUST-0032,2024-08-30,PPC Campaign,14251.3,18.0,1
TXN-00062,CUST-0093,2025-08-13,Property Management,3412.33,25.0,1
TXN-00063,CUST-0047,2024-12-02,Bulk Order,21340.17,12.0,2
