customer_id,company_name,industry,acquisition_channel,acquisition_date,churn_date,is_churned,annual_revenue,employees
CUST-0001,Beta Solutions,E-commerce,Organic Search,2024-04-12,,False,78107.91,5
CUST-0002,Omega Technologies,E-commerce,Google Ads,2025-03-16,,False,78109.19,200
CUST-0003,Delta Partners,Digital Agency,LinkedIn,2025-01-26,,False,125738.83,15
CUST-0004,Beta Group,Digital Agency,Referral,2024-03-16,,False,14570.0,15
CUST-0005,Edge Collective,Digital Agency,Organic Search,2024-05-13,,False,57274.87,25
CUST-0006,Alpha Solutions,Education,Conference,2024-02-10,2024-07-30,True,54141.77,25
CUST-0007,Beta Technologies,Digital Agency,Partner,2024-05-07,2024-09-17,True,224705.27,15
CUST-0008,Delta Solutions,Digital Agency,Partner,2024-06-09,,False,29119.3,50
CUST-0009,Core Technologies,Legal Services,Partner,2025-09-06,,False,87934.87,15
CUST-0010,Core Collective,SaaS,Referral,2024-03-10,,False,73049.77,25
CUST-0011,Delta Ventures,Digital Agency,Partner,2024-02-03,,False,50165.26,5
CUST-0012,Edge Consulting,E-commerce,Conference,2025-01-05,,False,181984.41,5
CUST-0013,Alpha Partners,Digital Agency,Referral,2024-04-07,2024-10-18,True,261854.72,15
CUST-0014,Nova Labs,Real Estate,Organic Search,2024-10-13,,False,141723.89,50
CUST-0015,Omega Partners,SaaS,Organic Search,2024-06-29,,False,51786.27,15
CUST-0016,Delta Labs,Legal Services,Partner,2024-01-06,2024-06-22,True,73203.07,10
CUST-0017,Beta Group,Consulting,Google Ads,2024-04-25,,False,43980.71,100
CUST-0018,Nova Group,Real Estate,Conference,2024-12-27,,False,59769.03,10
CUST-0019,Prime Labs,Real Estate,Cold Outreach,2025-05-03,,False,48920.26,10
CUST-0020,Edge Consulting,Real Estate,Google Ads,2024-05-01,,False,71135.22,25
CUST-0021,Alpha Ventures,Consulting,Organic Search,2024-04-28,2024-09-03,True,44254.96,50
CUST-0022,Core Group,Education,LinkedIn,2024-04-08,,False,14490.21,10
CUST-0023,Nova Group,Legal Services,Google Ads,2024-01-09,,False,96132.83,10
CUST-0024,Core Consulting,Digital Agency,Organic Search,2025-06-07,,False,309533.87,10
CUST-0025,Edge Labs,Healthcare,Organic Search,2024-10-12,,False,209385.65,25
CUST-0026,Edge Technologies,Consulting,LinkedIn,2024-01-21,,False,109059.77,25
CUST-0027,Beta Solutions,Consulting,Organic Search,2024-01-04,,False,59666.4,10
CUST-0028,Delta Consulting,Education,Google Ads,2024-09-14,,False,45104.92,100
CUST-0029,Beta Technologies,Healthcare,Conference,2025-04-04,,False,71534.74,25
CUST-0030,Beta Collective,Digital Agency,Cold Outreach,2024-06-14,,False,128012.45,15
CUST-0031,Omega Ventures,Real Estate,Cold Outreach,2024-04-04,,False,215738.62,50
CUST-0032,Prime Partners,Digital Agency,Organic Search,2024-08-12,2025-02-18,True,48322.31,25
CUST-0033,Prime Labs,E-commerce,LinkedIn,2024-08-19,,False,314454.79,25
CUST-0034,Delta Consulting,Legal Services,Google Ads,2025-02-18,,False,43447.89,15
CUST-0035,Beta Partners,Education,Referral,2024-03-08,,False,130182.27,50
CUST-0036,Core Technologies,SaaS,LinkedIn,2024-06-01,,False,225749.95,50
CUST-0037,Gamma Ventures,Education,Partner,2024-03-13,2024-05-28,True,159926.95,15
CUST-0038,Nova Consulting,SaaS,Partner,2024-01-04,,False,42328.09,100
CUST-0039,Core Technologies,Legal Services,Partner,2024-03-24,,False,21701.85,25
CUST-0040,Prime Solutions,Healthcare,Partner,2024-07-03,,False,104632.42,100
CUST-0041,Delta Solutions,E-commerce,Referral,2024-10-22,,False,31477.54,10
CUST-0042,Prime Collective,Real Estate,Partner,2024-12-28,,False,165222.39,50
CUST-0043,Omega Group,E-commerce,Cold Outreach,2024-08-17,,False,4651645.06,15
CUST-0044,Delta Labs,Legal Services,Google Ads,2024-04-13,,False,999148.37,10
CUST-0045,Delta Ventures,Real Estate,Referral,2024-07-14,2024-08-20,True,105269.61,50
CUST-0046,Nova Ventures,Digital Agency,Google Ads,2024-02-23,,False,33599.12,25
CUST-0047,Gamma Consulting,E-commerce,Partner,2024-06-19,,False,13028.02,50
