order_id,date,sku,quantity,unit_price,unit_cost
ORD-005647,2024-01-01,INT-008,5,299.99,100.0
ORD-000741,2024-01-01,STB-009,2,4.99,2.5
ORD-004126,2024-01-01,SEA-001,3,19.99,8.0
ORD-004407,2024-01-01,STB-009,3,4.99,2.5
ORD-000535,2024-01-01,SEA-009,1,24.99,10.0
ORD-007615,2024-01-01,SEA-008,7,5.99,2.0
ORD-006766,2024-01-01,TRD-003,4,29.99,12.0
ORD-001849,2024-01-01,SEA-006,2,14.99,5.0
ORD-009571,2024-01-01,TRD-004,4,24.99,10.0
ORD-001048,2024-01-01,STB-002,4,14.99,6.0
ORD-000134,2024-01-01,DED-002,4,8.99,3.0
ORD-001961,2024-01-02,DED-002,5,8.99,3.0
ORD-002077,2024-01-02,STB-001,4,9.99,4.0
ORD-004534,2024-01-02,STB-008,4,3.99,1.5
ORD-006118,2024-01-02,DED-003,2,12.99,5.0
ORD-007673,2024-01-02,DED-002,2,8.99,3.0
ORD-001062,2024-01-02,INT-002,1,99.99,40.0
ORD-004088,2024-01-02,INT-003,2,59.99,25.0
ORD-008497,2024-01-02,TRD-006,3,24.99,10.0
ORD-008084,2024-01-02,TRD-008,5,14.99,3.0
ORD-008253,2024-01-02,DED-003,4,12.99,5.0
ORD-005707,2024-01-02,DED-001,2,4.99,2.0
ORD-003042,2024-01-02,TRD-004,4,24.99,10.0
ORD-005350,2024-01-03,SEA-005,1,59.99,25.0
ORD-005017,2024-01-03,TRD-001,3,39.99,15.0
ORD-008350,2024-01-03,DED-003,2,12.99,5.0
ORD-005900,2024-01-03,DED-001,1,4.99,2.0
ORD-000245,2024-01-03,SEA-003,1,29.99,12.0
ORD-002027,2024-01-03,STB-008,2,3.99,1.5
ORD-009115,2024-01-03,STB-010,4,4.49,1.5
ORD-009167,2024-01-03,TRD-002,7,19.99,5.0
ORD-003722,2024-01-03,INT-005,7,119.99,45.0
ORD-003302,2024-01-03,STB-006,2,7.99,3.0
ORD-004750,2024-01-03,SEA-010,4,14.99,6.0
ORD-000714,2024-01-03,STB-001,2,9.99,4.0
ORD-002368,2024-01-03,SEA-003,1,29.99,12.0
ORD-000896,2024-01-03,TRD-003,1,29.99,12.0
ORD-004000,2024-01-03,SEA-002,5,9.99,3.5
ORD-005249,2024-01-03,DED-004,3,9.99,4.0
ORD-002249,2024-01-04,DED-003,1,12.99,5.0
ORD-000201,2024-01-04,STB-002,1,14.99,6.0
ORD-004269,2024-01-04,TRD-001,2,39.99,15.0
ORD-008067,2024-01-04,TRD-003,1,29.99,12.0
ORD-009677,2024-01-04,DED-002,5,8.99,3.0
ORD-009043,2024-01-04,SEA-001,2,19.99,8.0
ORD-005475,2024-01-04,SEA-008,2,5.99,2.0
ORD-008442,2024-01-05,SEA-005,2,59.99,25.0
ORD-006902,2024-01-05,STB-004,1,7.99,3.0
ORD-009679,2024-01-05,SEA-004,1,34.99,15.0
ORD-008484,2024-01-05,SEA-004,3,34.99,15.0
ORD-009160,2024-01-05,SEA-009,4,24.99,10.0
ORD-007383,2024-01-05,SEA-009,1,24.99,10.0
ORD-007480,2024-01-05,DED-002,2,8.99,3.0
ORD-003545,2024-01-06,DED-005,1,24.99,10.0
ORD-005379,2024-01-06,DED-003,2,12.99,5.0
ORD-005661,2024-01-06,TRD-006,6,24.99,10.0
ORD-009336,2024-01-06,STB-001,2,9.99,4.0
ORD-001574,2024-01-06,DED-002,2,8.99,3.0
ORD-001049,2024-01-06,DED-001,3,4.99,2.0
ORD-009624,2024-01-06,DED-004,3,9.99,4.0
ORD-009827,2024-01-06,SEA-009,6,24.99,10.0
ORD-005179,2024-01-06,DED-004,2,9.99,4.0
ORD-008145,2024-01-06,TRD-003,7,29.99,12.0
ORD-007876,2024-01-06,SEA-010,2,14.99,6.0
ORD-002133,2024-01-06,STB-006,3,7.99,3.0
ORD-007417,2024-01-06,TRD-001,6,39.99,15.0
ORD-000247,2024-01-06,DED-003,4,12.99,5.0
ORD-008841,2024-01-07,DED-002,2,8.99,3.0
ORD-004432,2024-01-07,TRD-001,3,39.99,15.0
ORD-007589,2024-01-07,STB-008,5,3.99,1.5
ORD-004620,2024-01-07,STB-005,1,6.99,2.5
ORD-004097,2024-01-07,DED-001,1,4.99,2.0
ORD-002179,2024-01-07,TRD-004,4,24.99,10.0
ORD-004713,2024-01-07,DED-002,1,8.99,3.0
ORD-000873,2024-01-07,STB-002,3,14.99,6.0
ORD-005814,2024-01-07,DED-003,2,12.99,5.0
ORD-002904,2024-01-07,SEA-007,3,11.99,4.0
ORD-006113,2024-01-07,STB-004,4,7.99,3.0
ORD-004697,2024-01-07,TRD-005,8,19.99,8.0
ORD-004332,2024-01-07,SEA-007,3,11.99,4.0
ORD-002983,2024-01-08,SEA-006,2,14.99,5.0
ORD-003250,2024-01-08,SEA-009,4,24.99,10.0
ORD-000842,2024-01-08,SEA-006,2,14.99,5.0
ORD-000432,2024-01-08,DED-003,4,12.99,5.0
ORD-003809,2024-01-08,SEA-009,5,24.99,10.0
ORD-006919,2024-01-08,STB-001,5,9.99,4.0
ORD-009633,2024-01-08,STB-001,3,9.99,4.0
ORD-009166,2024-01-08,SEA-008,1,5.99,2.0
ORD-008825,2024-01-08,STB-009,1,4.99,2.5
ORD-007668,2024-01-08,STB-005,1,6.99,2.5
ORD-002614,2024-01-08,TRD-005,1,19.99,8.0
ORD-005725,2024-01-08,DED-001,4,4.99,2.0
ORD-009725,2024-01-08,TRD-008,7,14.99,3.0
ORD-008677,2024-01-08,DED-005,3,24.99,10.0
ORD-004647,2024-01-08,SEA-010,3,14.99,6.0
ORD-003028,2024-01-09,TRD-005,5,19.99,8.0
ORD-008711,2024-01-09,SEA-003,1,29.99,12.0
ORD-004191,2024-01-09,TRD-005,4,19.99,8.0
ORD-003536,2024-01-09,DED-002,8,8.99,3.0
ORD-006633,2024-01-09,STB-009,2,4.99,2.5
ORD-009237,2024-01-09,DED-002,2,8.99,3.0
ORD-008407,2024-01-09,SEA-003,1,29.99,12.0
ORD-000344,2024-01-09,TRD-007,1,39.99,15.0
ORD-006726,2024-01-09,DED-004,2,9.99,4.0
ORD-000506,2024-01-09,SEA-005,3,59.99,25.0
ORD-000729,2024-01-09,DED-001,3,4.99,2.0
ORD-009547,2024-01-09,STB-006,3,7.99,3.0
ORD-006037,2024-01-09,SEA-002,4,9.99,3.5
ORD-006833,2024-01-09,SEA-003,4,29.99,12.0
ORD-001618,2024-01-09,DED-004,4,9.99,4.0
ORD-001196,2024-01-09,SEA-009,3,24.99,10.0
ORD-000847,2024-01-09,SEA-005,4,59.99,25.0
ORD-007173,2024-01-09,STB-007,1,5.99,2.0
ORD-001859,2024-01-09,SEA-008,2,5.99,2.0
ORD-008568,2024-01-09,STB-008,6,3.99,1.5
ORD-000384,2024-01-10,STB-009,1,4.99,2.5
ORD-001642,2024-01-10,SEA-003,3,29.99,12.0
ORD-000972,2024-01-10,DED-005,2,24.99,10.0
ORD-003031,2024-01-10,STB-006,4,7.99,3.0
ORD-000188,2024-01-10,DED-003,3,12.99,5.0
ORD-008573,2024-01-10,DED-003,2,12.99,5.0
ORD-009681,2024-01-10,DED-002,6,8.99,3.0
ORD-005741,2024-01-10,STB-001,7,9.99,4.0
ORD-005714,2024-01-10,STB-007,3,5.99,2.0
ORD-004651,2024-01-10,STB-001,2,9.99,4.0
ORD-002447,2024-01-10,DED-004,1,9.99,4.0
ORD-007613,2024-01-10,TRD-005,5,19.99,8.0
ORD-009730,2024-01-10,SEA-008,1,5.99,2.0
ORD-005997,2024-01-10,SEA-006,3,14.99,5.0
ORD-003447,2024-01-10,SEA-010,2,14.99,6.0
ORD-001700,2024-01-10,DED-004,6,9.99,4.0
ORD-006530,2024-01-10,DED-004,4,9.99,4.0
ORD-007896,2024-01-10,INT-004,6,149.99,60.0
ORD-005519,2024-01-10,SEA-007,3,11.99,4.0
ORD-003001,2024-01-11,DED-005,3,24.99,10.0
ORD-005602,2024-01-11,STB-008,8,3.99,1.5
ORD-004675,2024-01-11,STB-003,2,12.99,5.0
ORD-008023,2024-01-11,TRD-002,1,19.99,5.0
ORD-002631,2024-01-11,STB-005,2,6.99,2.5
ORD-002538,2024-01-11,STB-002,3,14.99,6.0
ORD-006769,2024-01-11,STB-008,5,3.99,1.5
ORD-009315,2024-01-11,STB-010,2,4.49,1.5
ORD-002797,2024-01-12,STB-001,3,9.99,4.0
ORD-003752,2024-01-12,INT-001,2,19.99,8.0
ORD-002969,2024-01-12,SEA-004,5,34.99,15.0
ORD-003501,2024-01-12,DED-005,3,24.99,10.0
ORD-002905,2024-01-12,SEA-004,4,34.99,15.0
ORD-003620,2024-01-12,STB-003,1,12.99,5.0
ORD-006396,2024-01-12,TRD-004,5,24.99,10.0
ORD-001601,2024-01-12,DED-004,3,9.99,4.0
ORD-007067,2024-01-12,SEA-003,1,29.99,12.0
ORD-009424,2024-01-12,STB-004,1,7.99,3.0
ORD-000690,2024-01-12,DED-003,3,12.99,5.0
ORD-007854,2024-01-12,SEA-003,1,29.99,12.0
ORD-009382,2024-01-12,STB-002,6,14.99,6.0
ORD-007498,2024-01-12,DED-001,2,4.99,2.0
ORD-008132,2024-01-12,STB-006,2,7.99,3.0
ORD-000570,2024-01-12,SEA-007,4,11.99,4.0
ORD-005192,2024-01-13,STB-005,1,6.99,2.5
ORD-007357,2024-01-13,TRD-007,4,39.99,15.0
ORD-005359,2024-01-13,DED-002,3,8.99,3.0
ORD-002869,2024-01-13,DED-003,4,12.99,5.0
ORD-004325,2024-01-13,TRD-005,3,19.99,8.0
ORD-003988,2024-01-13,TRD-008,3,14.99,3.0
ORD-003122,2024-01-13,SEA-007,1,11.99,4.0
ORD-007856,2024-01-13,STB-006,5,7.99,3.0
ORD-002748,2024-01-13,DED-002,8,8.99,3.0
ORD-006506,2024-01-13,SEA-010,1,14.99,6.0
ORD-009711,2024-01-13,DED-003,4,12.99,5.0
ORD-005244,2024-01-13,DED-002,4,8.99,3.0
ORD-004006,2024-01-13,DED-003,5,12.99,5.0
ORD-004954,2024-01-13,STB-005,2,6.99,2.5
ORD-003697,2024-01-13,STB-004,3,7.99,3.0
ORD-006411,2024-01-14,STB-003,1,12.99,5.0
ORD-006585,2024-01-14,DED-003,4,12.99,5.0
ORD-006211,2024-01-14,TRD-005,5,19.99,8.0
ORD-005492,2024-01-14,SEA-006,2,14.99,5.0
ORD-003549,2024-01-14,STB-004,1,7.99,3.0
ORD-009142,2024-01-14,STB-001,1,9.99,4.0
ORD-001300,2024-01-14,TRD-005,5,19.99,8.0
ORD-000744,2024-01-14,TRD-007,3,39.99,15.0
ORD-001548,2024-01-14,SEA-001,2,19.99,8.0
ORD-001781,2024-01-14,TRD-006,4,24.99,10.0
ORD-008182,2024-01-14,SEA-008,2,5.99,2.0
ORD-005105,2024-01-15,SEA-002,5,9.99,3.5
ORD-003371,2024-01-15,DED-001,5,4.99,2.0
ORD-000278,2024-01-15,SEA-005,3,59.99,25.0
ORD-004706,2024-01-15,DED-004,3,9.99,4.0
ORD-001071,2024-01-15,SEA-009,3,24.99,10.0
ORD-000452,2024-01-15,DED-005,4,24.99,10.0
ORD-006536,2024-01-15,DED-003,1,12.99,5.0
ORD-009573,2024-01-16,SEA-008,2,5.99,2.0
ORD-005337,2024-01-16,DED-001,5,4.99,2.0
ORD-005473,2024-01-16,TRD-004,1,24.99,10.0
ORD-001384,2024-01-16,STB-008,1,3.99,1.5
ORD-002161,2024-01-16,STB-004,2,7.99,3.0
ORD-003627,2024-01-16,TRD-005,6,19.99,8.0
ORD-009594,2024-01-16,STB-001,6,9.99,4.0
ORD-003434,2024-01-16,DED-005,3,24.99,10.0
ORD-002138,2024-01-16,TRD-007,6,39.99,15.0
ORD-000187,2024-01-16,DED-003,1,12.99,5.0
ORD-006716,2024-01-16,STB-008,5,3.99,1.5
ORD-003118,2024-01-16,DED-005,3,24.99,10.0
ORD-000420,2024-01-16,STB-001,6,9.99,4.0
ORD-004603,2024-01-16,STB-006,3,7.99,3.0
ORD-008753,2024-01-16,STB-002,5,14.99,6.0
ORD-000887,2024-01-16,TRD-006,6,24.99,10.0
ORD-000613,2024-01-16,STB-005,1,6.99,2.5
ORD-001832,2024-01-16,SEA-008,3,5.99,2.0
ORD-007814,2024-01-16,DED-005,6,24.99,10.0
ORD-005319,2024-01-17,DED-002,1,8.99,3.0
ORD-009728,2024-01-17,SEA-001,2,19.99,8.0
ORD-002321,2024-01-17,DED-005,3,24.99,10.0
ORD-001017,2024-01-17,TRD-002,4,19.99,5.0
ORD-003896,2024-01-17,STB-009,2,4.99,2.5
ORD-005058,2024-01-17,STB-009,5,4.99,2.5
ORD-002997,2024-01-17,DED-005,6,24.99,10.0
ORD-004145,2024-01-17,DED-005,5,24.99,10.0
ORD-008984,2024-01-17,INT-003,3,59.99,25.0
ORD-004911,2024-01-17,DED-003,2,12.99,5.0
ORD-005700,2024-01-17,SEA-007,3,11.99,4.0
ORD-007452,2024-01-17,STB-006,5,7.99,3.0
ORD-006042,2024-01-18,SEA-006,3,14.99,5.0
ORD-006351,2024-01-18,INT-002,2,99.99,40.0
ORD-008293,2024-01-18,SEA-004,6,34.99,15.0
ORD-005465,2024-01-18,STB-008,2,3.99,1.5
ORD-001630,2024-01-18,TRD-004,7,24.99,10.0
ORD-001861,2024-01-18,DED-004,2,9.99,4.0
ORD-004128,2024-01-18,TRD-008,5,14.99,3.0
ORD-004772,2024-01-18,STB-004,5,7.99,3.0
ORD-006496,2024-01-18,TRD-003,5,29.99,12.0
ORD-002348,2024-01-18,STB-007,4,5.99,2.0
ORD-004995,2024-01-18,DED-002,4,8.99,3.0
ORD-007203,2024-01-18,DED-002,5,8.99,3.0
ORD-000468,2024-01-18,STB-006,1,7.99,3.0
ORD-000094,2024-01-18,SEA-001,6,19.99,8.0
ORD-006202,2024-01-18,STB-002,3,14.99,6.0
ORD-007975,2024-01-18,SEA-001,2,19.99,8.0
ORD-008448,2024-01-18,STB-002,4,14.99,6.0
ORD-000636,2024-01-18,STB-002,1,14.99,6.0
