date,sku,on_hand,unit_cost
2025-12-31,SEA-001,50,8.0
2025-12-31,SEA-002,43,3.5
2025-12-31,SEA-003,27,12.0
2025-12-31,SEA-004,43,15.0
2025-12-31,SEA-005,55,25.0
2025-12-31,SEA-006,31,5.0
2025-12-31,SEA-007,26,4.0
2025-12-31,SEA-008,10,2.0
2025-12-31,SEA-009,38,10.0
2025-12-31,SEA-010,46,6.0
2025-12-31,STB-001,33,4.0
2025-12-31,STB-002,32,6.0
2025-12-31,STB-003,31,5.0
2025-12-31,STB-004,36,3.0
2025-12-31,STB-005,18,2.5
2025-12-31,STB-006,21,3.0
2025-12-31,STB-007,49,2.0
2025-12-31,STB-008,27,1.5
2025-12-31,STB-009,22,2.5
2025-12-31,STB-010,23,1.5
2025-12-31,TRD-001,11,15.0
2025-12-31,TRD-002,17,5.0
2025-12-31,TRD-003,15,12.0
2025-12-31,TRD-004,10,10.0
2025-12-31,TRD-005,8,8.0
2025-12-31,TRD-006,4,10.0
2025-12-31,TRD-007,6,15.0
2025-12-31,TRD-008,1,3.0
2025-12-31,INT-001,7,8.0
2025-12-31,INT-002,23,40.0
2025-12-31,INT-003,18,25.0
2025-12-31,INT-004,15,60.0
2025-12-31,INT-005,17,45.0
2025-12-31,INT-006,15,80.0
2025-12-31,INT-007,9,70.0
2025-12-31,INT-008,7,100.0
2025-12-31,DED-001,56,2.0
2025-12-31,DED-002,57,3.0
2025-12-31,DED-003,48,5.0
2025-12-31,DED-004,66,4.0
2025-12-31,DED-005,66,10.0
